#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250721   14:59:05      0      0      0      0      0      0      0 
 20250721   14:59:05      1      0      0      0      0      0      0 
 20250721   14:59:05      2      0      0      0      0      0      0 
 20250721   14:59:05      3      0      0      0      0      0      0 
 20250721   14:59:07      0      0      0      0      0      0      0 
 20250721   14:59:07      1      0      0      0      0      0      0 
 20250721   14:59:07      2      0      0      0      0      0      0 
 20250721   14:59:07      3      0      0      0      0      0      0 
 20250721   14:59:08      0      0      0      0      0      0      0 
 20250721   14:59:08      1      0      0      0      0      0      0 
 20250721   14:59:08      2      0      0      0      0      0      0 
 20250721   14:59:08      3      0      0      0      0      0      0 
 20250721   14:59:09      0      0      0      0      0      0      0 
 20250721   14:59:09      1      0      0      0      0      0      0 
 20250721   14:59:09      2      0      0      0      0      0      0 
 20250721   14:59:09      3      0      0      0      0      0      0 
 20250721   14:59:10      0      0      0      0      0      0      0 
 20250721   14:59:10      1      0      0      0      0      0      0 
 20250721   14:59:10      2      0      0      0      0      0      0 
 20250721   14:59:10      3      0      0      0      0      0      0 
 20250721   14:59:12      0      0      0      0      0      0      0 
 20250721   14:59:12      1      0      0      0      0      0      0 
 20250721   14:59:12      2      0      0      0      0      0      0 
 20250721   14:59:12      3      0      0      0      0      0      0 
 20250721   14:59:13      0      0      0      0      0      0      0 
 20250721   14:59:13      1      0      0      0      0      0      0 
 20250721   14:59:13      2      0      0      0      0      0      0 
 20250721   14:59:13      3      0      0      0      0      0      0 
 20250721   14:59:14      0      0      0      0      0      0      0 
 20250721   14:59:14      1      0      0      0      0      0      0 
 20250721   14:59:14      2      0      0      0      0      0      0 
 20250721   14:59:14      3      0      0      0      0      0      0 
 20250721   14:59:15      0      0      0      0      0      0      0 
 20250721   14:59:15      1      0      0      0      0      0      0 
 20250721   14:59:15      2      0      0      0      0      0      0 
 20250721   14:59:15      3      0      0      0      0      0      0 
 20250721   14:59:17      0      0      0      0      0      0      0 
 20250721   14:59:17      1      0      0      0      0      0      0 
 20250721   14:59:17      2      0      0      0      0      0      0 
 20250721   14:59:17      3      0      0      0      0      0      0 
 20250721   14:59:18      0      0      0      0      0      0      0 
 20250721   14:59:18      1     96     97      0      0      0      0 
 20250721   14:59:18      2      0      0      0      0      0      0 
 20250721   14:59:18      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
