Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752747136,100,,Aggregated,26.900000,0.000000,1400,4700,4900,5000,5000,5000,5000,5000,5000,5000,5000,345,0,1400.0,2743.8769102935084,740.0467569823377,5031.264811987057,697.4376811594203
1752747137,100,,Aggregated,28.600000,0.000000,1400,4700,4900,5000,5000,5000,5000,5000,5000,5000,5000,376,0,1400.0,2735.521686131177,740.0467569823377,5031.264811987057,695.9787234042553
1752747138,100,,Aggregated,29.200000,0.000000,1400,4800,5000,5000,5000,5000,5000,5000,5000,5000,5000,403,0,1400.0,2790.14543667115,740.0467569823377,5031.751892005559,700.7394540942928
1752747139,100,,Aggregated,31.200000,0.000000,1400,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,426,0,1400.0,2836.715775404777,740.0467569823377,5031.751892005559,705.4225352112676
1752747140,100,,Aggregated,30.300000,0.000000,1400,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,442,0,1400.0,2860.985028616609,740.0467569823377,5031.751892005559,706.9592760180996
1752747141,100,,Aggregated,28.600000,0.000000,1500,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,476,0,1500.0,2900.2234029088136,740.0467569823377,5031.751892005559,710.7205882352941
1752747142,100,,Aggregated,28.000000,0.000000,1600,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,510,0,1600.0,2955.1626054245944,740.0467569823377,5031.751892005559,716.1117647058824
1752747143,100,,Aggregated,29.400000,0.000000,1600,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,537,0,1600.0,2967.4445501852997,740.0467569823377,5031.751892005559,717.0893854748604
1752747144,100,,Aggregated,29.400000,0.000000,1600,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,565,0,1600.0,2967.2991968312226,740.0467569823377,5031.751892005559,716.4654867256637
1752747145,100,,Aggregated,28.600000,0.000000,1600,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,590,0,1500.0,2948.591682916286,740.0467569823377,5031.751892005559,714.6694915254237
1752747146,100,,Aggregated,28.100000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,620,0,1600.0,2987.0995164235806,740.0467569823377,5031.751892005559,717.5532258064516
1752747147,100,,Aggregated,27.500000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,650,0,1600.0,2988.6601020453963,740.0467569823377,5031.751892005559,717.2369230769231
1752747148,100,,Aggregated,27.400000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,678,0,1700.0,2997.008920979966,740.0467569823377,5031.751892005559,717.4970501474926
1752747149,100,,Aggregated,26.900000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,713,0,1700.0,3001.3254780049156,740.0467569823377,5031.751892005559,717.9523141654979
1752747150,100,,Aggregated,27.000000,0.000000,1800,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,744,0,1800.0,3012.6291628768486,740.0467569823377,5031.751892005559,718.8736559139785
1752747151,100,,Aggregated,29.300000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,770,0,1700.0,2999.7906849757383,740.0467569823377,5031.751892005559,717.3532467532467
1752747152,100,,Aggregated,30.000000,0.000000,1700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,795,0,1700.0,2997.8835189800693,740.0467569823377,5031.751892005559,716.9647798742138
1752747153,100,,Aggregated,29.200000,0.000000,1600,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,831,0,1600.0,2992.6047389641813,740.0467569823377,5046.289127029013,716.6305655836342
1752747154,100,,Aggregated,29.400000,0.000000,1700,5000,5000,5000,5000,5000,5100,5100,5100,5100,5100,869,0,1700.0,3011.2247019384586,740.0467569823377,5083.125626959372,718.482163406214
