Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,3478,0,1600.0,3045.427326994498,740.0467569823377,5134.2269299784675,717.0609545715929,28.9678773214044,0.0,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100
,Aggregated,3478,0,1600.0,3045.427326994498,740.0467569823377,5134.2269299784675,717.0609545715929,28.9678773214044,0.0,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100
