#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250721   16:16:02      0      0      0      0      0      0      0 
 20250721   16:16:02      1      0      0      0      0      0      0 
 20250721   16:16:02      2      0      0      0      0      0      0 
 20250721   16:16:02      3      0      0      0      0      0      0 
 20250721   16:16:03      0      0      0      0      0      0      0 
 20250721   16:16:03      1      0      0      0      0      0      0 
 20250721   16:16:03      2      0      0      0      0      0      0 
 20250721   16:16:03      3      0      0      0      0      0      0 
 20250721   16:16:04      0      0      0      0      0      0      0 
 20250721   16:16:04      1      0      0      0      0      0      0 
 20250721   16:16:04      2      0      0      0      0      0      0 
 20250721   16:16:04      3      0      0      0      0      0      0 
 20250721   16:16:05      0      0      0      0      0      0      0 
 20250721   16:16:05      1      0      0      0      0      0      0 
 20250721   16:16:05      2      0      0      0      0      0      0 
 20250721   16:16:05      3      0      0      0      0      0      0 
 20250721   16:16:06      0      0      0      0      0      0      0 
 20250721   16:16:06      1      0      0      0      0      0      0 
 20250721   16:16:06      2      0      0      0      0      0      0 
 20250721   16:16:06      3      0      0      0      0      0      0 
 20250721   16:16:08      0      0      0      0      0      0      0 
 20250721   16:16:08      1      0      0      0      0      0      0 
 20250721   16:16:08      2      0      0      0      0      0      0 
 20250721   16:16:08      3      0      0      0      0      0      0 
 20250721   16:16:09      0      0      0      0      0      0      0 
 20250721   16:16:09      1      0      0      0      0      0      0 
 20250721   16:16:09      2      0      0      0      0      0      0 
 20250721   16:16:09      3      0      0      0      0      0      0 
 20250721   16:16:10      0      0      0      0      0      0      0 
 20250721   16:16:10      1      0      0      0      0      0      0 
 20250721   16:16:10      2      0      0      0      0      0      0 
 20250721   16:16:10      3      0      0      0      0      0      0 
 20250721   16:16:11      0      0      0      0      0      0      0 
 20250721   16:16:11      1      0      0      0      0      0      0 
 20250721   16:16:11      2      0      0      0      0      0      0 
 20250721   16:16:11      3      0      0      0      0      0      0 
 20250721   16:16:13      0      0      0      0      0      0      0 
 20250721   16:16:13      1     96     97      0      0      0      0 
 20250721   16:16:13      2      0      0      0      0      0      0 
 20250721   16:16:13      3      0      0      0      0      0      0 
 20250721   16:16:14      0      0      0      0      0      0      0 
 20250721   16:16:14      1     95     96      0      0      0      0 
 20250721   16:16:14      2      0      0      0      0      0      0 
 20250721   16:16:14      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250721   16:16:15      0      0      0      0      0      0      0 
 20250721   16:16:15      1     93     93      0      0      0      0 
 20250721   16:16:15      2      0      0      0      0      0      0 
 20250721   16:16:15      3      0      0      0      0      0      0 
 20250721   16:16:16      0      0      0      0      0      0      0 
 20250721   16:16:16      1     93     93      0      0      0      0 
 20250721   16:16:16      2      0      0      0      0      0      0 
 20250721   16:16:16      3      0      0      0      0      0      0 
 20250721   16:16:18      0      0      0      0      0      0      0 
 20250721   16:16:18      1     95     95      0      0      0      0 
 20250721   16:16:18      2      0      0      0      0      0      0 
 20250721   16:16:18      3      0      0      0      0      0      0 
 20250721   16:16:19      0      0      0      0      0      0      0 
 20250721   16:16:19      1     93     87      0      0      0      0 
 20250721   16:16:19      2      0      0      0      0      0      0 
 20250721   16:16:19      3      0      0      0      0      0      0 
 20250721   16:16:21      0      0      0      0      0      0      0 
 20250721   16:16:21      1     91     74      0      0      0      0 
 20250721   16:16:21      2      0      0      0      0      0      0 
 20250721   16:16:21      3      0      0      0      0      0      0 
 20250721   16:16:22      0      0      0      0      0      0      0 
 20250721   16:16:22      1     91     62      0      0      0      0 
 20250721   16:16:22      2      0      0      0      0      0      0 
 20250721   16:16:22      3      0      0      0      0      0      0 
 20250721   16:16:23      0      0      0      0      0      0      0 
 20250721   16:16:23      1     94     51      0      0      0      0 
 20250721   16:16:23      2      0      0      0      0      0      0 
 20250721   16:16:23      3      0      0      0      0      0      0 
 20250721   16:16:24      0      0      0      0      0      0      0 
 20250721   16:16:24      1     91     48      0      0      0      0 
 20250721   16:16:24      2      0      0      0      0      0      0 
 20250721   16:16:24      3      0      0      0      0      0      0 
 20250721   16:16:26      0      0      0      0      0      0      0 
