#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   17:32:41      0      0      0      0      0      0      0 
 20250720   17:32:41      1      0      0      0      0      0      0 
 20250720   17:32:41      2      0      0      0      0      0      0 
 20250720   17:32:41      3      0      0      0      0      0      0 
 20250720   17:32:43      0      0      0      0      0      0      0 
 20250720   17:32:43      1      0      0      0      0      0      0 
 20250720   17:32:43      2      0      0      0      0      0      0 
 20250720   17:32:43      3      0      0      0      0      0      0 
 20250720   17:32:44      0      0      0      0      0      0      0 
 20250720   17:32:44      1      0      0      0      0      0      0 
 20250720   17:32:44      2      0      0      0      0      0      0 
 20250720   17:32:44      3      0      0      0      0      0      0 
 20250720   17:32:45      0      0      0      0      0      0      0 
 20250720   17:32:45      1      0      0      0      0      0      0 
 20250720   17:32:45      2      0      0      0      0      0      0 
 20250720   17:32:45      3      0      0      0      0      0      0 
 20250720   17:32:46      0      0      0      0      0      0      0 
 20250720   17:32:46      1      0      0      0      0      0      0 
 20250720   17:32:46      2      0      0      0      0      0      0 
 20250720   17:32:46      3      0      0      0      0      0      0 
 20250720   17:32:47      0      0      0      0      0      0      0 
 20250720   17:32:47      1      0      0      0      0      0      0 
 20250720   17:32:47      2      0      0      0      0      0      0 
 20250720   17:32:47      3      0      0      0      0      0      0 
 20250720   17:32:48      0      0      0      0      0      0      0 
 20250720   17:32:48      1      0      0      0      0      0      0 
 20250720   17:32:48      2      0      0      0      0      0      0 
 20250720   17:32:48      3      0      0      0      0      0      0 
 20250720   17:32:49      0      0      0      0      0      0      0 
 20250720   17:32:49      1      0      0      0      0      0      0 
 20250720   17:32:49      2      0      0      0      0      0      0 
 20250720   17:32:49      3      0      0      0      0      0      0 
 20250720   17:32:50      0      0      0      0      0      0      0 
 20250720   17:32:50      1      0      0      0      0      0      0 
 20250720   17:32:50      2      0      0      0      0      0      0 
 20250720   17:32:50      3      0      0      0      0      0      0 
 20250720   17:32:51      0      0      0      0      0      0      0 
 20250720   17:32:51      1      0      0      0      0      0      0 
 20250720   17:32:51      2      0      0      0      0      0      0 
 20250720   17:32:51      3      0      0      0      0      0      0 
 20250720   17:32:52      0      0      0      0      0      0      0 
 20250720   17:32:52      1      0      0      0      0      0      0 
 20250720   17:32:52      2      0      0      0      0      0      0 
 20250720   17:32:52      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   17:32:53      0      0      0      0      0      0      0 
 20250720   17:32:53      1      0      0      0      0      0      0 
 20250720   17:32:53      2      0      0      0      0      0      0 
 20250720   17:32:53      3      0      0      0      0      0      0 
 20250720   17:32:54      0     90     91      0      0      0      0 
 20250720   17:32:54      1     83     86      0      0      0      0 
 20250720   17:32:54      2     83     86      0      0      0      0 
 20250720   17:32:54      3     82     84      0      0      0      0 
 20250720   17:32:55      0     90     91      0      0      0      0 
 20250720   17:32:55      1     83     86      0      0      0      0 
 20250720   17:32:55      2     83     86      0      0      0      0 
 20250720   17:32:55      3     83     86      0      0      0      0 
 20250720   17:32:56      0     90     91      0      0      0      0 
 20250720   17:32:56      1     83     85      0      0      0      0 
 20250720   17:32:56      2     83     86      0      0      0      0 
 20250720   17:32:56      3     82     85      0      0      0      0 
 20250720   17:32:57      0     90     90      0      0      0      0 
 20250720   17:32:57      1     83     85      0      0      0      0 
 20250720   17:32:57      2     82     85      0      0      0      0 
 20250720   17:32:57      3     82     85      0      0      0      0 
 20250720   17:32:58      0     92     92      0      0      0      0 
 20250720   17:32:58      1     85     87      0      0      0      0 
 20250720   17:32:58      2     83     86      0      0      0      0 
 20250720   17:32:58      3     83     86      0      0      0      0 
 20250720   17:32:59      0     93     93      0      0      0      0 
 20250720   17:32:59      1     85     87      0      0      0      0 
 20250720   17:32:59      2     84     87      0      0      0      0 
 20250720   17:32:59      3     84     87      0      0      0      0 
 20250720   17:33:00      0     82     82      0      0      0      0 
 20250720   17:33:00      1     82     81      0      0      0      0 
 20250720   17:33:00      2     80     79      0      0      0      0 
 20250720   17:33:00      3     75     74      0      0      0      0 
 20250720   17:33:01      0     91     90      0      0      0      0 
 20250720   17:33:01      1     91     89      0      0      0      0 
 20250720   17:33:01      2     90     90      0      0      0      0 
 20250720   17:33:01      3     90     87      0      0      0      0 
 20250720   17:33:02      0     91     89      0      0      0      0 
 20250720   17:33:02      1     91     89      0      0      0      0 
 20250720   17:33:02      2     90     89      0      0      0      0 
 20250720   17:33:02      3     90     89      0      0      0      0 
 20250720   17:33:03      0     91     88      0      0      0      0 
 20250720   17:33:03      1     90     88      0      0      0      0 
 20250720   17:33:03      2     90     88      0      0      0      0 
 20250720   17:33:03      3     90     88      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   17:33:04      0     90     87      0      0      0      0 
 20250720   17:33:04      1     90     86      0      0      0      0 
 20250720   17:33:04      2     90     87      0      0      0      0 
 20250720   17:33:04      3     91     88      0      0      0      0 
 20250720   17:33:05      0     90     85      0      0      0      0 
 20250720   17:33:05      1     90     84      0      0      0      0 
 20250720   17:33:05      2     91     86      0      0      0      0 
 20250720   17:33:05      3     89     84      0      0      0      0 
 20250720   17:33:06      0     88     79      0      0      0      0 
 20250720   17:33:06      1     87     79      0      0      0      0 
 20250720   17:33:06      2     88     79      0      0      0      0 
 20250720   17:33:06      3     90     81      0      0      0      0 
 20250720   17:33:07      0     90     87      0      0      0      0 
 20250720   17:33:07      1     90     86      0      0      0      0 
 20250720   17:33:07      2     91     85      0      0      0      0 
 20250720   17:33:07      3     89     86      0      0      0      0 
 20250720   17:33:09      0     90     81      0      0      0      0 
 20250720   17:33:09      1     91     81      0      0      0      0 
 20250720   17:33:09      2     90     81      0      0      0      0 
 20250720   17:33:09      3     90     81      0      0      0      0 
 20250720   17:33:10      0     91     82      0      0      0      0 
 20250720   17:33:10      1     91     82      0      0      0      0 
 20250720   17:33:10      2     90     82      0      0      0      0 
 20250720   17:33:10      3     91     82      0      0      0      0 
 20250720   17:33:11      0     91     82      0      0      0      0 
 20250720   17:33:11      1     91     81      0      0      0      0 
 20250720   17:33:11      2     91     82      0      0      0      0 
 20250720   17:33:11      3     91     81      0      0      0      0 
 20250720   17:33:12      0     90     82      0      0      0      0 
 20250720   17:33:12      1     91     81      0      0      0      0 
 20250720   17:33:12      2     90     82      0      0      0      0 
 20250720   17:33:12      3     91     81      0      0      0      0 
 20250720   17:33:13      0     90     81      0      0      0      0 
 20250720   17:33:13      1     90     81      0      0      0      0 
 20250720   17:33:13      2     90     81      0      0      0      0 
 20250720   17:33:13      3     91     81      0      0      0      0 
 20250720   17:33:14      0     91     82      0      0      0      0 
 20250720   17:33:14      1     91     82      0      0      0      0 
 20250720   17:33:14      2     90     82      0      0      0      0 
 20250720   17:33:14      3     91     82      0      0      0      0 
 20250720   17:33:15      0     91     81      0      0      0      0 
 20250720   17:33:15      1     91     82      0      0      0      0 
 20250720   17:33:15      2     91     82      0      0      0      0 
 20250720   17:33:15      3     92     82      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250720   17:33:16      0     90     81      0      0      0      0 
 20250720   17:33:16      1     91     81      0      0      0      0 
 20250720   17:33:16      2     91     81      0      0      0      0 
 20250720   17:33:16      3     91     81      0      0      0      0 
 20250720   17:33:17      0     90     87      0      0      0      0 
 20250720   17:33:17      1     90     86      0      0      0      0 
 20250720   17:33:17      2     90     87      0      0      0      0 
 20250720   17:33:17      3     91     87      0      0      0      0 
 20250720   17:33:18      0     92     82      0      0      0      0 
