#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250721   16:32:02      0      0      0      0      0      0      0 
 20250721   16:32:02      1      0      0      0      0      0      0 
 20250721   16:32:02      2      0      0      0      0      0      0 
 20250721   16:32:02      3      0      0      0      0      0      0 
 20250721   16:32:03      0      0      0      0      0      0      0 
 20250721   16:32:03      1      0      0      0      0      0      0 
 20250721   16:32:03      2      0      0      0      0      0      0 
 20250721   16:32:03      3      0      0      0      0      0      0 
 20250721   16:32:04      0      0      0      0      0      0      0 
 20250721   16:32:04      1      0      0      0      0      0      0 
 20250721   16:32:04      2      0      0      0      0      0      0 
 20250721   16:32:04      3      0      0      0      0      0      0 
 20250721   16:32:05      0      0      0      0      0      0      0 
 20250721   16:32:05      1      0      0      0      0      0      0 
 20250721   16:32:05      2      0      0      0      0      0      0 
 20250721   16:32:05      3      0      0      0      0      0      0 
 20250721   16:32:07      0      0      0      0      0      0      0 
 20250721   16:32:07      1      0      0      0      0      0      0 
 20250721   16:32:07      2      0      0      0      0      0      0 
 20250721   16:32:07      3      0      0      0      0      0      0 
 20250721   16:32:08      0      0      0      0      0      0      0 
 20250721   16:32:08      1      0      0      0      0      0      0 
 20250721   16:32:08      2      0      0      0      0      0      0 
 20250721   16:32:08      3      0      0      0      0      0      0 
 20250721   16:32:09      0      0      0      0      0      0      0 
 20250721   16:32:09      1      0      0      0      0      0      0 
 20250721   16:32:09      2      0      0      0      0      0      0 
 20250721   16:32:09      3      0      0      0      0      0      0 
 20250721   16:32:10      0      0      0      0      0      0      0 
 20250721   16:32:10      1      0      0      0      0      0      0 
 20250721   16:32:10      2      0      0      0      0      0      0 
 20250721   16:32:10      3      0      0      0      0      0      0 
 20250721   16:32:12      0      0      0      0      0      0      0 
 20250721   16:32:12      1      0      0      0      0      0      0 
 20250721   16:32:12      2      0      0      0      0      0      0 
 20250721   16:32:12      3      0      0      0      0      0      0 
 20250721   16:32:13      0      0      0      0      0      0      0 
 20250721   16:32:13      1     25     22      0      0      0      0 
 20250721   16:32:13      2      0      0      0      0      0      0 
 20250721   16:32:13      3      0      0      0      0      0      0 
 20250721   16:32:14      0      0      0      0      0      0      0 
 20250721   16:32:14      1     94     95      0      0      0      0 
 20250721   16:32:14      2      0      0      0      0      0      0 
 20250721   16:32:14      3      0      0      0      0      0      0 
#Date       Time        gpu     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx      %      %      %      %      %      % 
 20250721   16:32:16      0      0      0      0      0      0      0 
 20250721   16:32:16      1     95     95      0      0      0      0 
 20250721   16:32:16      2      0      0      0      0      0      0 
 20250721   16:32:16      3      0      0      0      0      0      0 
 20250721   16:32:17      0      0      0      0      0      0      0 
 20250721   16:32:17      1     95     95      0      0      0      0 
 20250721   16:32:17      2      0      0      0      0      0      0 
 20250721   16:32:17      3      0      0      0      0      0      0 
 20250721   16:32:18      0      0      0      0      0      0      0 
 20250721   16:32:18      1     95     95      0      0      0      0 
 20250721   16:32:18      2      0      0      0      0      0      0 
 20250721   16:32:18      3      0      0      0      0      0      0 
 20250721   16:32:19      0      0      0      0      0      0      0 
 20250721   16:32:19      1     93     87      0      0      0      0 
 20250721   16:32:19      2      0      0      0      0      0      0 
 20250721   16:32:19      3      0      0      0      0      0      0 
 20250721   16:32:21      0      0      0      0      0      0      0 
 20250721   16:32:21      1     91     58      0      0      0      0 
 20250721   16:32:21      2      0      0      0      0      0      0 
 20250721   16:32:21      3      0      0      0      0      0      0 
 20250721   16:32:22      0      0      0      0      0      0      0 
 20250721   16:32:22      1     93     49      0      0      0      0 
